session_id,query_text,search_time,total_results
search_010572a8522d47c38aa2ea6b8f3fe9cc,"(recent work) OR (competitions) AND (""counteract clickbait"") AND (spoiling OR ""revealing key information upfront"")",2025-05-22T21:57:01,12
search_012a8503f160481082925ae0fb3dc28a,"(research) AND (""evaluation of consistency"") AND (""generated summaries"")",2025-05-22T21:57:17,12
search_0218f2405a2d4361bd3269fccc72dbcc,"(research) AND (""hierarchical structures within transformers"") AND (""enhance task-oriented dialogue systems"")",2025-05-22T21:58:00,12
search_02fba6e9155d4d0e9c1d6521ed4b655a,"(study) AND (""cross project code summarization evaluation"") AND (""time-segmented eval methodology"")",2025-05-22T21:57:24,12
search_036d89a85c9f41d6b608e7b07479f34a,"(research) AND (""use of past dialogues"") AND (""enhancing query expansion"") AND (""conversational search systems"")",2025-05-22T21:58:01,7
search_03db093f07f14affb45ef84ff1dd7e65,"(research) AND (""large language models"" AND GPT-3) AND (""coreference resolution"") AND (""few-shot learning"")",2025-05-22T21:57:34,0
search_04410e0d1d3144d98d2969516e2e5733,"(dataset) AND (""legally or ethically contentious content"") AND (""labels for acceptable and non-acceptable questions"")",2025-05-22T21:57:19,1
search_04d722cdef9844a7b13d6a6400384116,"(research) AND (""large datasets"") AND (""sentence simplification"") AND (""Wikipedia sourced"")",2025-05-22T21:57:03,6
search_0568758a002e4149990ebee4100fc777,"(paper) AND (relation extraction) AND (""syntax dependency structures"") AND (""tree LSTM model"")",2025-05-22T21:57:00,12
search_05caf1c5d58a431a88759a2b91db7a83,"(studies) AND (""example-based approaches"") AND (""predict user intent"") AND (""few-shot learning"")",2025-05-22T21:57:20,12
search_05f06f0662d84cc0a17ccdb352136e5b,"(study) AND (""incorporating a fact memory component"") AND (""neural networks"") AND (""improve language modeling"") AND (""without retraining"") AND (""without fine-tuning"")",2025-05-22T21:57:30,3
search_06937eca22ce442ebce25c4b4d282cef,"(study) AND (""integrating model quantization"") AND (""knowledge distillation"")",2025-05-22T21:57:29,12
search_0941ee92977c4bf399a7432c3747acda,"(research) AND (""improving named entity recognition"") AND (""retrieval of external contexts"")",2025-05-22T21:57:14,12
search_094290522c4c4521aa354e4674949895,(research) AND (transforming multi-hop questions) AND (single-hop sub-questions) AND (single-hop answer models),2025-05-22T21:56:51,12
search_0c06a5ab6e704e2ea075f90759c23e5e,"(research) AND (""binarizing non-binary subtrees"") AND (""discourse parsing"")",2025-05-22T21:57:13,5
search_0dd48d0ca58741198e2b4e98d9343a45,"(study) AND (""zero-shot extraction"") AND (""persona characteristics"") AND (""conversational dialogues"")",2025-05-22T21:58:04,0
search_104c471c3fd743bfac1847d75448ed4f,"(studies) AND (""popularity bias"") AND (""news recommendation engines"") AND (""distinguish between user interests and popularity"")",2025-05-22T21:57:43,0
search_10663d094bd94eb7878f49bb02d6e7ae,"(research) AND (""enhancing zero-shot question answering"") AND (""prompts from language models"") AND (""integrated with knowledge graph data"")",2025-05-22T21:57:58,12
search_1151191a54d8462dbe5ff75b4640b646,"(research) AND (""efficacy of recurrent networks"") AND (""language modeling"") AND (""CCG supertagging"") AND (LSTM architectures) AND (""model comparisons"")",2025-05-22T21:57:06,0
search_11ada884000f40418a8db7c3f568b600,"(study) AND (""difficulties in creating shared multilingual vocabularies"") AND (""over segmentation"") AND (""low-resource languages"")",2025-05-22T21:57:26,0
search_1285b05ed95c43b58caff9911273228b,"(""dense retrieval models"") AND (""open-domain question answering"") AND (""hard negative mining techniques"")",2025-05-22T21:58:12,12
search_150e81b4b9b8433b99108b1d5c08611c,"(research) AND (""pinpointing sentence components"") AND (""hateful expressions"") AND (""sentence-level standardization"") AND (""content moderation"")",2025-05-22T21:57:51,0
search_1550906343d641bc9973303a872e0a57,"(research) AND (""graph-based methods"") AND (""predicting connections in knowledge graphs"") AND (""n-ary relational facts"")",2025-05-22T21:57:59,12
search_16681b5d13524decb884e9350a4a47fc,"(paper) AND (""writing assistant"") AND (""autocomplete capabilities"") AND (""conditioned on user intent"")",2025-05-22T21:57:24,0
search_17306edb120742efb9ed37977e9ba02e,"(paper) AND (""self-supervised contrastive learning"") AND (""sentence embeddings"") AND (""sampling in-batch negatives"")",2025-05-22T21:57:21,12
search_1747bf98a6cb4ab2887cc16c47d63f67,"(research) AND (""insertion-based decoding methods"") AND (""semantic parsing"") AND (""language modeling"") AND (""alternatives to cross-entropy"") AND (""Kullback–Leibler divergence"")",2025-05-22T21:57:05,0
search_1acf0a491bc04185a33b4f41dc98bbf5,"(studies) AND (""fine-tuning pre-trained language models"") AND (""weakly supervised learning"") AND (""contrastive regularization"" OR ""self-training"")",2025-05-22T21:57:43,12
search_1b66053763d04354a61d015984a202bb,"(papers) AND (datasets) AND (""shared tasks"") AND (""fact verification"") AND (""evidence from Wikipedia"")",2025-05-22T21:57:13,0
search_1cb6eba6ca344fe4a5a643a84eecda74,"(studies) AND (""optimally select demonstrations"") AND (""few-shot in-context learning"")",2025-05-22T21:57:44,12
search_1eeee8c2e3b542b9a2e0255c90c94ed3,"(research papers) AND (""efficacy of multilingual text-to-text transformers"") AND (""various languages"") AND (""less represented in pretraining corpora"")",2025-05-22T21:58:07,12
search_1f0fa7712f994184a1a9e417db35f8a5,"(argument mining) AND (""dependency parsers"") AND (""argumentativeness of texts"") AND (""dialogue systems"")",2025-05-22T21:57:07,1
search_1f4fb13e22ef46cca47256cc07fcfb14,"(research) AND (""interpret how bi-directional RNNs"") AND (""Named Entity Recognition tasks"")",2025-05-22T21:58:03,12
search_2108188542cc414aa4087739a1cc0acd,"(research) AND (""mitigate overfitting"") AND (""weakly-supervised settings"") AND (""adversarial framework"") AND (""labeling function as a hyperparameter"")",2025-05-22T21:58:04,0
search_21ac08b1debc4396ab0608623ca7e9eb,"(research) AND (""merging speech and text modalities"") AND (""unified representation space"") AND (""encoder-decoder models"") AND (""processing spoken language"")",2025-05-22T21:57:39,3
search_221d8f7e448b445ab4720718208b9f3f,"(dialogue summarization dataset) AND (""broadcast interviews"") AND (TV OR radio)",2025-05-22T21:57:22,1
search_2359e53f686d4504a4045d790f9c7fbb,"(research article) AND (""generative methods for extracting information"") AND (""generation of surface forms"") AND (""labeling of entities"") AND (""classification of entity types"")",2025-05-22T21:57:45,9
search_24798be7bf4a47b7b6af800cf8dba213,(recent datasets) AND (stance detection) AND (tweets) AND (specific individuals OR specific events) AND (2020 OR 2021 OR 2022 OR 2023 OR 2024 OR 2025),2025-05-22T21:56:57,2
search_2510e30052ad4fccbe9f559c661f3437,"(article) AND (""spatial information in documents"") AND (""multi-modal LMs"") AND (""spatially-aware attention mechanism"")",2025-05-22T21:57:49,0
search_270d3d3c2f8d4ba987d2d269c2e157c0,"(research) AND (""mitigate intersectional biases"") AND (""Transformer-based models"")",2025-05-22T21:57:34,12
search_2968342fd73c490e87239c9e743c5f44,"(large corpus) AND (""annotated social media posts"") AND (""variety of health conditions"")",2025-05-22T21:57:15,12
search_2a343ff95bb24038b77dc8e4ab013d28,"(research) AND (""graph attention techniques"") AND (""integrating multiple modalities"") AND (""identifying emotions"")",2025-05-22T21:57:58,2
search_2b26d8e51f9843bcbb8654ef8c218799,"(studies) AND (""statistical machine translation methodologies"" AND GIZA++) AND (""alignment process"" AND ""words and grammar rules"") AND (""semantic parsing"") AND (""generation of meaning representations"")",2025-05-22T21:57:11,0
search_2dd0585aff2b4028a3e4b50d91194833,"(research) AND (""training BERT-based classifiers"") AND (""Wikipedia data"") AND (""zero-shot text classification"") AND (""open domains"")",2025-05-22T21:58:01,12
search_2defccf86c924fd4996e4ed2a5253cee,"(research articles) AND (""contrastive learning methods"") AND (""improve sentence embedding efficacy"") AND (""natural language processing"")",2025-05-22T21:57:32,12
search_2e5e0c5d7fb848538c46343e66b71dfb,"(research paper) AND (""customer service conversation dataset"") AND (""forecasting customer intentions"") AND (""limitations imposed by agent protocols"")",2025-05-22T21:58:14,5
search_2f51951537f54f94b02e7234d161fde5,"(study) AND (""feedback-driven decoding"") AND (""producing mathematical proofs"") AND (""language models"")",2025-05-22T21:57:32,6
search_3035ef8d43374a8c890854aa12544e75,"(research) AND (contrastive learning) AND (fine-tuning sentence representations) AND (""in-batch negatives"" AND ""similar to the positive examples"")",2025-05-22T21:56:53,0
search_31db38be01af42b4bbcd53af8bc9b927,"(prior works) AND (""exposure bias"") AND (""hallucinations"") AND (""neural machine translation models"")",2025-05-22T21:57:13,0
search_3231f9ceefd243449de978757701d415,"(research) AND (""enhancement of neural passage retrieval"") AND (""dual encoders"") AND (""generation of synthetic questions"")",2025-05-22T21:57:41,9
search_358bde14cca34fee96f93732d95eaea4,"(triplet-formatted structured dataset) AND (""training table-to-text generation models"")",2025-05-22T21:57:49,12
search_39c9929274454f4bb62b202cacb43004,"(interdisciplinary research) AND (""creative natural language generation"") AND (evaluation)",2025-05-22T21:57:16,12
search_3b5cee64e174491eba009388c7fddeea,"(research) AND (""combinatorial optimization techniques"") AND (""unsupervised entity matching"")",2025-05-22T21:57:57,9
search_3ca2a4af2b6b48aca7f792b4a82fb4a6,"(research) AND (""fine-tuning generative language models"") AND (""parameter efficiency"") AND (""reduce computational demands"")",2025-05-22T21:57:40,12
search_3da21d15bf724647a15966667de467c0,(work) AND (diagnostic tools) AND (detect depression) AND (online posts) AND (temporal artifacts) AND (topical artifacts),2025-05-22T21:56:52,0
search_3e02e2fc09694b1a81d14d6d5623ef91,(studies) AND (impact of data augmentation) AND ((feature cutoff) OR (token cutoff) OR (span cutoff) OR (dropout)) AND (contrastive learning) AND (sentence representations),2025-05-22T21:56:53,7
search_4098bdf7bdbc406c9da52b74cbf67ad1,"(recent publications) AND (""neural network methods"" AND ""transformer architectures"") AND (""creating novel readability metrics"")",2025-05-22T21:58:06,12
search_40e1a07e81054dbdb2846ae0c7f34e74,"(research) AND (""clustering-based efficient attention mechanism"") AND (""Transformer models"")",2025-05-22T21:57:57,12
search_4184a9ab57d246ec8d61447bb20b00bf,"(research) AND (""how many evidence sentences"") AND (""document-level RE"")",2025-05-22T21:58:00,10
search_419f1373fa5640b2951b8b65c9a6d074,"(studies) AND (""open information extraction systems"") AND (""lexical constraints"") AND (""syntactic constraints"") AND (coherent extraction) AND (informative extraction)",2025-05-22T21:56:58,0
search_42b871ed39784cc287481c3a0fb71326,"(study) AND (""multi-modal pre-training techniques"") AND (""improve comprehension of documents"") AND (""high visual content"")",2025-05-22T21:57:48,12
search_4446ceee9e9c460589f36ae00ef93342,"(works) AND (""learning embeddings"") AND (""inputted to every transformer layer"") AND (""language model"")",2025-05-22T21:58:12,12
search_445ed9d5617a4d2086aa27c4af8b3edf,"(studies) AND (""factuality in abstractive summarization"") AND (""detect hallucinated content"")",2025-05-22T21:57:18,6
search_45700eec33334f6e8ce4415e1e2506ad,"(study) AND (""pre-trained multilingual text-to-text transformer"") AND (""text summarization tasks"")",2025-05-22T21:57:25,12
search_45cdf62247a749c5b55a772d8a2cb0fa,"(research) AND (""training soft prompts"") AND (""identifying fixed prompts"") AND (""prompt tuning"")",2025-05-22T21:57:56,12
search_48909231f1eb49118603d6b96bcc8500,"(discourse treebank) AND (""Chinese newswire articles"") AND (""large enough for splits"")",2025-05-22T21:57:15,2
search_498f4cf9d96c4d2b845abb6cab6f0f63,"(research) AND (""performance decline"") AND (""various language models"" AND BLOOM) AND (""4-bit integer columnar weight-only quantization"")",2025-05-22T21:57:34,0
search_49f727b6873444f2ac0319308f3bed92,(literature) AND (training neural networks) AND (translate text passages) AND (related questions),2025-05-22T21:56:56,5
search_4ad2c3c75ebc4a73b58d2307ed5a461d,"(soft-constrained methods) AND (""terminology translation"") AND (""neural machine translation"") AND (""hard-constrained decoding methods"") AND (""degrade translation quality"") OR (""increase complexity"")",2025-05-22T21:57:11,12
search_4b972f7fe2794a18b40db934bc4185cb,"(study) AND (""improvement of knowledge representation learning"") AND (""global context"") AND (""graph attention networks"")",2025-05-22T21:57:31,6
search_4bcd082783f9424bb76fa37fa11fc867,"(research) AND (""binary classification systems"") AND (""sentences within a context require clarification"") AND (WikiHowToImprove dataset)",2025-05-22T21:56:58,8
search_4c89a768afbf4c9cb79999192d802238,"(dataset) AND (""diverse, intricate natural language queries"") AND (""multi-step reasoning"") AND (""comparing attributes"") AND (""performing set operations"") AND (""answering questions from a knowledge base"") AND (""without entity linking"")",2025-05-22T21:57:44,8
search_4ccc13ae403d47a4942650de5dc0ff4d,"(comparative analysis OR review) AND (""pretrained transformer architectures"") AND (BERT) AND (""text ranking applications"")",2025-05-22T21:57:49,9
search_4da7fe0b4d144b969cef01034bd661be,"(multilingual datasets) AND (""intended sarcasm detection"") AND (English AND Arabic)",2025-05-22T21:57:17,0
search_4ed9c18f90d9406981d3753389c04de9,"(state-of-the-art techniques) AND (""language representation models"") AND (""understand context"" AND ""preceding text"" AND ""succeeding text"") AND (Transformer architecture) AND (""pre-trained on"")",2025-05-22T21:57:01,12
search_4f9ed627aeff4180b9d4ce706a99aa01,"(research) AND (""pre-trained encoder-decoder architecture"") AND (""comprehending and generating code"") AND (""enhancing automated code repair systems"")",2025-05-22T21:57:55,2
search_4febc0fb7f56416a9532012ab4f2b2df,"(research) AND (""bi-encoder text matching"") AND (""knowledge distillation methods"")",2025-05-22T21:57:23,12
search_502ad00b1c7148b4a562e88f55e90170,"(research papers) AND (""applying knowledge distillation"") AND (""information retrieval"") AND (""in-batch negatives"")",2025-05-22T21:57:32,6
search_503a0db8c65944189f0113b929a6253c,"(distillation process) AND (""language models"") AND (""attention mechanism alignment"") AND (""teacher-student model architecture"")",2025-05-22T21:57:05,12
search_50a3958e207749e58f7788442254b558,"(dataset) AND (""toxic sentence pairs"") AND (""non-toxic paraphrased counterparts"") AND (""studying text detoxification"")",2025-05-22T21:58:11,12
search_5160f16b04f7433894ce6fefdd9337e2,"(paper) AND (""challenges of compositional generalization"") AND (""semantic parsing"") AND (""unseen local structures"") AND (""program outputs"")",2025-05-22T21:57:12,4
search_527ccdbdb878441ea9de1207c88e1442,"(work) AND (""multimodal models"") AND (""contrastive learning approaches"")",2025-05-22T21:58:03,12
search_52e6419f3cfe45bd8c725d3e5b6272d0,"(paper) AND (""annotating events in text"") AND (""degrees of factuality"") AND (certain OR probable OR underspecified)",2025-05-22T21:57:16,3
search_52fcab25b0a049339c2de667887e472e,"(study) AND (""improvement of Chinese sequence labeling"") AND (BERT) AND (""lexical data"") AND (""character-to-word bilinear attention"")",2025-05-22T21:57:27,2
search_532b286c301b434abf53294dfb33e019,"(study) AND (""cohesive pre-training method"") AND (""code representation learning"") AND (""different modalities"")",2025-05-22T21:57:46,12
search_5473597748ef44d2b3321cf0f34c5473,"(study) AND (""using prompts to fine-tune language models"") AND (""alternative viewpoint"") AND (""standard optimization and regularization"")",2025-05-22T21:57:47,2
search_54ba86a5a63949fcbe159cea3727d881,"(latest advancements) AND (""predicting suicidal tendencies"") AND (""innovative feature extraction methods"")",2025-05-22T21:58:19,7
search_5502c82fe9d344539b1b052d4d6983ea,"(research papers) AND (""collected feedback from real users"") AND (""using LLMs for scientific writing"")",2025-05-22T21:58:07,12
search_578fd63f0a0c46d4ad951d124d4b4831,"(research) AND (""specialized language model"") AND (""detect mental health issues"") AND (""social media platforms"")",2025-05-22T21:58:16,7
search_58deefdc6f22477c875ea6aff93a915f,"(papers) AND (""conversational search"") AND (""retrieval"") AND (""conversational response ranking"")",2025-05-22T21:57:50,4
search_5c767f2d8a1e4a90ad7ecc621187a172,"(benchmark) AND (""assess language models' social biases"") AND (""question answering frameworks"") AND (""diverse categories of social bias"") AND (""instances of ambiguity and its resolution"")",2025-05-22T21:58:13,0
search_5ca001716464470ea445e26856f1e163,"(research) AND (""data augmentation"") AND (""improving logical reasoning over text"")",2025-05-22T21:57:39,12
search_5cb33175c5dd4144ba14301a05e986df,"(study) AND (""mitigating bias"") AND (""natural language understanding"") AND (""example reweighting"")",2025-05-22T21:57:26,2
search_5d1eea8f608c44b899065123b963dc24,"(research) AND (LLM) AND (""generate better prompts"") OR (""generate better templates"") AND (""task input/output"")",2025-05-22T21:57:22,12
search_5dcd7bce6a9c4c1aa7584fa9a9d2b0be,"(study) AND (""incorporation of human intervention"") AND (""generating adversarial examples"") AND (""attack conversational agents"") AND (""improving classifier efficacy"")",2025-05-22T21:57:48,2
search_5de6335e180c4375ba796b1bc8ae6f51,"(research) AND (""language learning models"" AND ChatGPT) AND (""creating reading comprehension tasks"") AND (""educational software"")",2025-05-22T21:57:33,1
search_60fa2f9ed3d44333a639c78161835d03,"(conversational QA dataset) AND (""human questioner"" AND ""no access to evidence passage"") AND (""real-world information-seeking"")",2025-05-22T21:56:54,11
search_634d7dad9af546c7b069e97ce2b1d305,"(research papers) AND (""models for representing sentences"") AND (""under-resourced languages"" AND (Slovenian OR Romanian))",2025-05-22T21:58:06,0
search_63b685f1d78e469c99c707529481d4fd,"(research papers) AND (""creation of datasets through model-generated data"") AND (""annotators to identify hallucinations"") AND (""developing diagnostic evaluation datasets"")",2025-05-22T21:58:09,12
search_63d4c2a16f784236b41fe81e4e285d5b,(papers) AND (propose) AND (contextualized calibration) AND (probability of answers) AND (language models),2025-05-22T21:56:50,4
search_63ed19877f8a4a7fbfb912d6d0205b53,"(research) AND (""difficulties in employing weakly labeled datasets"") AND (""named entity recognition"") AND (""mitigate data noise"")",2025-05-22T21:57:54,12
search_640f70e6c9544d68ab06b948452a9013,"(research) AND (""independently sampled dropout masks"") AND (""generate positive pairs"") AND (""contrastive learning"") AND (""sentence embeddings"")",2025-05-22T21:57:55,2
search_65750b60e1c2479a9c95b3774bc7b8c7,"(papers) AND (""transformer language models"") AND (""generation of argumentative text conclusions"") AND (novelty) AND (validity)",2025-05-22T21:57:18,0
search_66eadd8356184bcab7524e50fbd4aacd,"(research) AND (""effect of example sequencing"") AND (""machine learning model efficacy"") AND (""few-shot learning"")",2025-05-22T21:57:36,12
search_673394253d9e449d96f7c4ce6f7d7229,"(research) AND (""metric for assessing Text-to-Image synthesis"") AND (""semantic congruence"") AND (""visual quality"")",2025-05-22T21:57:38,5
search_6aa5d6452eb24ebdaf6e9f51ba73caca,"(research) AND (""improving retrieval-based conversational systems"") AND (""masked language modeling"") AND (""relevance classification objectives"")",2025-05-22T21:58:01,12
search_6c1bbd0bd77548f38a90fbc6fe4817c4,(study) AND (predict reader's native language) AND (eye movement patterns) AND (reading English texts),2025-05-22T21:56:58,2
search_6c464aa67f794b04b3263556afdcd7d4,"(studies) AND (""sentiment analysis"") AND (""text-to-graph conversion models"") AND (""contextual embeddings"")",2025-05-22T21:57:20,3
search_6c9a779d697b48c3b5e0ac06d5c102ec,"(research) AND (""randomly removing words from sentences"") AND (""data augmentation strategy"") AND (""mitigate overfitting"") AND (""NLP models"")",2025-05-22T21:57:41,0
search_707a9b86ec5e4f13bfb5ed511c2d522e,"(information) AND (""self-attentive parsers"") AND (""few-shot learning"") AND (""official code"") AND (hyperparameters)",2025-05-22T21:57:16,0
search_74c2b64510194bdc98658ecb3e222164,"(approaches) AND (""lower the computational demands"") AND (""basic attention mechanisms"") AND (""transformers"") AND (study) AND (""memory-saving technique"") AND (""selective key-value pairing"") AND (""each query"")",2025-05-22T21:58:18,0
search_754b647b82e943099b05533eef6b9362,"(research) AND (""creating counterfactual examples"") AND (""enhance question-answering systems"") AND (""T5 model augmented with retrieval"")",2025-05-22T21:57:40,11
search_755612ad87a34851a3df041efc54969c,"(study) AND (""transformer models"") AND (""feed-forward neural networks"") AND (""encode factual information"")",2025-05-22T21:57:45,12
search_76855b748d7246b9a8e82208641a56f1,"(study) AND (""improved training methods"") AND (""dense passage retrieval"") AND (""open-domain question answering systems"")",2025-05-22T21:57:47,9
search_7915357afcba4accbc18ed23292fde9e,"(study) AND (""knowledge transfer"") AND (""structured databases"") AND (""unstructured data sources"") AND (""improving sophisticated question-answering systems"")",2025-05-22T21:57:30,3
search_7bb5ffcc2789494aba619dee530e5d31,"(research) AND (""dictionary definitions"" AND ""word embedding models"") AND (""multiple languages"") AND (comparison)",2025-05-22T21:57:57,0
search_7c75e9e260894c4abf4df19eb0da9f4c,"(studies) AND (""advancements in dependency parsing"") AND (""graph-to-graph transformers"") AND (""iterative refinement processes"")",2025-05-22T21:57:06,0
search_7e525f9211af4f49b3eb40dceca50d85,"(research) AND (""order of in-context examples"") AND (""efficacy of in-context learning"") AND (""language models"")",2025-05-22T21:57:52,12
search_7ef2651a6193430886e3b80f8bef2020,"(study) AND (""employing prefix vectors"") AND (""conditional natural language generation"")",2025-05-22T21:57:27,10
