index,query_text
0,(research papers) AND (compress) AND (large-scale language models) AND (task-agnostic knowledge distillation)
1,(resources) AND (translating Tunisian Arabic) AND (manually translated comments) AND (native speakers) AND (data augmentation) AND (segmentation at stop words level)
2,(studies) AND (post-hoc techniques) AND (hallucination detection) AND ((token-level) OR (sentence-level)) AND (neural sequence generation)
3,(tools) OR (studies) AND (morphological analyzer) AND (multiple Arabic dialects)
4,(papers) AND (propose) AND (contextualized calibration) AND (probability of answers) AND (language models)
5,(studies) AND (combine) AND (convolutional neural network) AND (recurrent neural network) AND (feature extraction) AND (relation extraction)
6,(research) AND (transforming multi-hop questions) AND (single-hop sub-questions) AND (single-hop answer models)
7,(studies) AND ((question answering) OR (passage retrieval)) AND (mitigating clickbait headlines)
8,(publications) AND (evaluation metrics) AND (semantic role labeling) AND (precision) AND (evaluation scripts) AND (SemEval)
9,(paper) AND (transformer-based sentence embeddings)
10,(work) AND (diagnostic tools) AND (detect depression) AND (online posts) AND (temporal artifacts) AND (topical artifacts)
11,(studies) AND (evaluating text generation models) AND (dimensions) AND ((T5) OR (FLAN-T5)) AND ((summary-level) OR (turn-level))
12,(studies) AND (impact of data augmentation) AND ((feature cutoff) OR (token cutoff) OR (span cutoff) OR (dropout)) AND (contrastive learning) AND (sentence representations)
13,"(research) AND (contrastive learning) AND (fine-tuning sentence representations) AND (""in-batch negatives"" AND ""similar to the positive examples"")"
14,(studies) OR (tasks) AND (detecting patronizing language) AND (detecting condescending language) AND (vulnerable communities)
15,"(conversational QA dataset) AND (""human questioner"" AND ""no access to evidence passage"") AND (""real-world information-seeking"")"
16,(foundational paper) AND (scalable framework) AND (generating English sentences) AND (controllable semantic attributes) AND (controllable syntactic attributes) AND (augmenting datasets) AND (NLP tasks)
17,(paper) AND (NLI model) AND (sentence-level relation extraction) AND (hypothesis generation) AND (verification) AND (entity-type constraints)
18,"(literature) AND (dependency-based models) AND (relation extraction) AND (dependency parsing) AND (""non-local syntactic relations"")"
19,"(research) AND (""Word Mover's Distance"" AND sentences) AND (limitations of bag-of-words) AND (word order) AND (text similarity)"
20,"(corpus) AND (""French encyclopedia documents"" AND ""semantic annotations"") AND (""question/answer triplets"" AND ""FrameNet semantic analysis"")"
21,(literature) AND (training neural networks) AND (translate text passages) AND (related questions)
22,"(literature) AND (dataset) AND (emotions) AND (anger OR anticipation OR fear OR joy OR sadness) AND (""Facebook posts"" AND ""multiple languages"")"
23,"(literature) AND (""enhanced semantic parsing methods"") AND (""high-quality meaning representations"") AND (""knowledge-constrained decoding"") AND (""specific grammar rules"")"
24,"(recent studies) AND (""prompt fine-tuning"") AND (""semi-supervised learning"") AND (""natural language understanding"")"
25,(literature) AND (evaluates context-aware machine translation) AND (discourse phenomena) AND (deixis) AND (lexical cohesion)
26,(recent datasets) AND (stance detection) AND (tweets) AND (specific individuals OR specific events) AND (2020 OR 2021 OR 2022 OR 2023 OR 2024 OR 2025)
27,(study) AND (predict reader's native language) AND (eye movement patterns) AND (reading English texts)
28,"(research) AND (""binary classification systems"") AND (""sentences within a context require clarification"") AND (WikiHowToImprove dataset)"
29,"(studies) AND (""open information extraction systems"") AND (""lexical constraints"") AND (""syntactic constraints"") AND (coherent extraction) AND (informative extraction)"
30,"(studies) AND (""dialectal variations"") AND (""normalized text"") AND (""non-Latin scripts"") AND (Arabic OR Japanese)"
31,(large-scale multilingual Amazon customer review data)
32,"(reference) AND (""classifiers for suicide risk detection"") AND (""low-resource language"") AND (""explicit suicide-related terminology"")"
33,"(datasets) AND (""SQL annotations"" AND WikiTQ)"
34,"(studies) AND (baseline) AND (""supervised constituency parsers"") AND (""few-shot learning"") AND (""pre-training"") AND (""data augmentation"") AND (""parser performance improvement"")"
35,"(paper) AND (relation extraction) AND (""syntax dependency structures"") AND (""tree LSTM model"")"
36,"(studies) AND (""novel methods for capturing data"") AND (sarcasm detection) AND (""social media platforms"" AND Twitter)"
37,"(recent work) OR (competitions) AND (""counteract clickbait"") AND (spoiling OR ""revealing key information upfront"")"
38,"(state-of-the-art techniques) AND (""language representation models"") AND (""understand context"" AND ""preceding text"" AND ""succeeding text"") AND (Transformer architecture) AND (""pre-trained on"")"
39,"(research) AND (""topic conditioning"" AND ""transformer language models"") AND (""frame conditioning"" AND ""transformer language models"") AND (""argument claims"")"
