id,orcid,display_name,display_name_alternatives,works_count,cited_by_count,last_known_institution,works_api_url,updated_date
5087249091,,Natalya Lyapkalo,"[""Natalya Lyapkalo""]",1,17,21203515.0,5087249091,2023-09-02T15:25:17.836956
5062915596,,Vanessa Ribeiro de Almeida,"[""Vanessa Ribeiro de Almeida""]",2,0,,5062915596,2023-09-02T14:08:09.059099
5022190089,,Marco H. Kraal,"[""Marco H. Kraal"", ""M.H. Kraal""]",2,120,,5022190089,2023-10-22T23:24:16.902262
5050964499,,K.Y. Cho,"[""K.Y. Cho""]",3,104,4210151417.0,5050964499,2023-10-22T16:31:28.106963
5075010605,,Andrew D. Fant,"[""Andrew D. Fant"", ""A. D. Fant""]",4,103,114027177.0,5075010605,2023-10-22T04:55:28.002379
5008974874,,and András Guttman,"[""and András Guttman""]",1,99,12912129.0,5008974874,2023-10-22T23:32:05.262485
5002139034,,Olivier Hancisse,"[""Olivier Hancisse""]",3,80,141945490.0,5002139034,2023-10-22T22:16:46.245312
5023158589,,James R. Grajek,"[""James R. Grajek""]",1,52,1298060332.0,5023158589,2023-10-22T03:21:38.690889
5065552531,,Po-Fen Tai,"[""Po‐Fen Tai""]",7,52,114150738.0,5065552531,2023-10-22T14:52:39.386756
5090856588,,Magnus Tottie,"[""Magnus Tottie""]",2,48,,5090856588,2023-10-22T06:12:14.899351
5000241801,,Patrick Neuhaus,"[""Patrick Neuhaus""]",2,45,4210139035.0,5000241801,2023-10-22T23:38:50.927069
5069963505,,Devesh B. Vyas,"[""Devesh B. Vyas""]",1,45,,5069963505,2023-10-22T22:05:38.083806
5071865686,,Alexander Bullerjahn,"[""Alexander Bullerjahn""]",2,41,75951250.0,5071865686,2023-10-22T05:12:07.886722
5010042476,,Gerhold Mühmel,"[""G. Mühmel"", ""Gerhold Mühmel""]",3,34,135140700.0,5010042476,2023-10-22T23:38:41.596142
5017707285,,G. J. de Raad,"[""G. J. de Raad""]",1,33,83019370.0,5017707285,2023-10-22T23:18:08.307881
5053730749,,S. Jean,"[""S. Jean""]",1,31,,5053730749,2023-10-22T10:49:50.286066
5029042842,,T. C. Chen,"[""T. C. Chen""]",3,27,143578492.0,5029042842,2023-10-22T17:32:53.986253
5090170009,,LI Hanying,"[""LI Hanying"", ""Hanying Li""]",2,24,204831749.0,5090170009,2023-10-22T22:16:35.604348
5075959498,,Justin Plummer,"[""Justin Plummer"", ""Justin E. Plummer""]",4,23,169335092.0,5075959498,2023-10-22T22:47:18.882641
5088250792,,L. Nuttens,"[""L. Nuttens""]",3,23,,5088250792,2023-10-22T04:21:56.446467
5084821703,,Tetuharu Okazaki,"[""T. OKAZAKI"", ""Tetuharu Okazaki""]",2,20,4210091817.0,5084821703,2023-10-22T19:38:31.276674
5039553335,0000-0002-7790-939X,Marielle Dias Martins,"[""Marielle Dias Martins""]",2,19,101100930.0,5039553335,2023-10-22T15:11:09.339505
5083513594,,I. Rhodes,"[""I. Rhodes""]",2,19,,5083513594,2023-10-22T06:30:22.968713
5047860725,,Michael B. Towns,"[""Michael B. Towns""]",1,18,,5047860725,2023-10-22T19:38:13.677743
5001247168,,Oliver Ottinger,"[""Oliver Ottinger""]",2,15,4210093306.0,5001247168,2023-10-22T23:24:16.052390
5007226805,,J Paruk,"[""Jan Paruk"", ""J Paruk""]",3,15,,5007226805,2023-10-22T16:39:43.444134
5067083570,,Natalia Stamataki,"[""Natalia Stamataki""]",3,13,4210131924.0,5067083570,2023-10-22T12:01:14.697072
5088774335,,Xiang Fei He,"[""Xiang Fei He"", ""Xiang He""]",2,7,142108993.0,5088774335,2023-10-22T06:13:00.382635
5047975619,,Inês Mota,"[""Inês Mota""]",2,5,71999127.0,5047975619,2023-10-22T06:35:39.118572
5052796219,,Ruchama Weiss,"[""R.A. Weiss"", ""Ruchama Weiss""]",2,5,,5052796219,2023-10-22T15:11:38.583110
5057126228,,Wendell L. Griffen,"[""Wendell L. Griffen""]",3,5,,5057126228,2023-10-22T03:14:19.791603
5071907383,,Bam Ogar,"[""Bam Ogar""]",1,5,3970730.0,5071907383,2023-10-22T15:41:53.450072
5055704153,,Nadia Iryani Najri,"[""N I Najri"", ""Nadia Iryani Najri""]",2,4,161371597.0,5055704153,2023-10-22T17:28:28.404988
5060074227,,Zhihua XIE,"[""Zhihua XIE""]",2,4,,5060074227,2023-10-22T13:21:31.217943
5068086817,,Masahiro Hirano,"[""Masahiro Hirano""]",4,4,3123035732.0,5068086817,2023-10-22T04:55:25.975903
5091239365,,Semyon Shestakov,"[""Semyon Shestakov""]",1,4,,5091239365,2023-10-22T07:34:13.091833
5028220643,,J. Ciftci,"[""J. Ciftci""]",1,3,,5028220643,2023-10-22T16:40:14.783641
5084721919,,M.Iu. Kudinov,"[""M.Iu. Kudinov""]",1,3,,5084721919,2023-10-22T16:04:03.572007
5005914009,,L. Denais,"[""L. Denais""]",2,2,,5005914009,2023-10-22T16:40:33.962345
5034243585,0000-0001-5085-2015,Amir Eqtedaei,"[""Amir Eqtedaei""]",2,2,176861719.0,5034243585,2023-10-22T04:55:31.292870
5048078588,,Candida Andreati,"[""Candida Andreati""]",2,2,,5048078588,2023-10-22T23:23:09.363520
5048466472,,M. Beisekova,"[""M. Beisekova""]",2,0,,5048466472,2023-10-22T12:55:52.908448
5057198702,,Sandra Hgli-Jost,"[""Sandra Hgli‐Jost""]",3,0,,5057198702,2023-10-22T03:45:03.117985
5067235788,,Erdem FATİHOĞLU,"[""Erdem FATİHOĞLU""]",1,0,176037994.0,5067235788,2023-10-22T15:22:59.132489
5076559815,,GoldenGate,"[""GoldenGate""]",1,0,,5076559815,2023-10-22T13:21:18.435607
5086511085,,CM Pereira,"[""CM Pereira""]",3,0,879563668.0,5086511085,2023-10-22T15:23:18.113892
5005020376,,Daniel Marcu,"[""Daniel Marcu"", ""D. Marcu"", ""Daniel C. Marcu""]",163,13673,121196025.0,5005020376,2024-02-21T07:58:09.785742
5022425980,,Bruce A. Cunningham,"[""B. A. Cunningham"", ""B Cunningham"", ""Bruce A. Cunningham""]",120,13100,123431417.0,5022425980,2024-02-21T15:34:56.182818
5028999916,,M. Sanjeev Arulampalam,"[""M. Sanjeev Arulampalam"", ""M. S. Arulampalam"", ""M. Arulampalam"", ""Moses Sanjeev Arulampalam""]",17,10936,1303474014.0,5028999916,2024-02-21T19:25:26.897734
5029924681,,Lori E. Greene,"[""L. Greene"", ""Lori E. Greene"", ""Lori Elizabeth Greene"", ""Lori Greene""]",19,10046,148283060.0,5029924681,2024-02-21T13:41:08.851074
5056029393,,Román Herrera,"[""R. Herrera"", ""Román Herrera"", ""Roman Herrera"", ""R.Antonio Herrera""]",51,9533,180857899.0,5056029393,2024-02-21T11:39:47.458707
5065061430,,C. Struck,"[""C. J. Struck"", ""Chr. Struck"", ""C. Struck""]",89,8934,114090438.0,5065061430,2024-02-21T03:18:07.936045
5008513659,,Richard M. Robson,"[""Robert Robson"", ""R. L. Robson"", ""R. Robson"", ""Richard M. Robson"", ""Robert L. Robson"", ""R. Moyra Robson"", ""R. M. Robson""]",162,8524,71052956.0,5008513659,2024-02-21T01:22:41.561749
5045541568,0000-0002-5986-962X,Jeroen Van Rie,"[""J. Van Rie"", ""Jeroen Van Rie""]",68,8432,2801148265.0,5045541568,2024-02-21T08:28:02.313103
5079320024,,Jerry R. Mitchell,"[""J. Roy Mitchell"", ""Jerry Mitchell"", ""J. Mitchell"", ""J.R.A. Mitchell"", ""Jerry R. Mitchell"", ""J. R. Mitchell"", ""J R. Mitchell""]",131,8285,155781252.0,5079320024,2024-02-21T07:18:39.222172
5085701476,,Koji Isozaki,"[""K. Isozaki"", ""Koji Isozaki"", ""Kouji Isozaki""]",69,8244,137459256.0,5085701476,2024-02-21T10:49:21.659326
5029873389,,Don Hutchison,"[""Don Hutchison""]",12,7893,4210143017.0,5029873389,2024-02-21T11:45:45.239461
5054466592,,K. E. Gregory,"[""K. E. Gregory"", ""Keith Gregory"", ""Keith E. Gregory"", ""Keith Edward Gregory"", ""K Gregory""]",237,7873,2802490183.0,5054466592,2024-02-21T08:50:47.684007
5082696829,0000-0001-7088-2035,Christopher T. Seto,"[""C. Seto"", ""C. T. Seto"", ""Christopher T. Seto"", ""Christopher Seto""]",93,7619,196272386.0,5082696829,2024-02-21T00:17:15.848230
5042635009,,S. F. Paul Man,"[""S. Man"", ""Sfp Man"", ""S.F Paul Man"", ""S. F. Man"", ""Songhang Man"", ""Shirley Man"", ""S. F. Paul Man"", ""S. F. P. Man""]",85,7250,4210151833.0,5042635009,2024-02-21T11:26:09.897813
5028386879,,John V. Jacobsen,"[""John Jacobsen"", ""J. V. Jacobsen"", ""John V. Jacobsen"", ""J. Jacobsen""]",102,7233,4210152679.0,5028386879,2024-02-21T02:44:57.674563
5078586744,,Hiroyuki Tamemoto,"[""Hiroyuki Tamemoto"", ""Hiroyuki Tamemoto Tamemoto"", ""H. Tamemoto""]",84,7208,146500386.0,5078586744,2024-02-21T18:47:54.244715
5024332613,,Alfred Linker,"[""A. Linker"", ""Alfred. Linker""]",112,7117,4210089864.0,5024332613,2024-02-21T18:07:13.423156
5061039751,,D. F. Cowen,"[""Df Cowen"", ""D.F Cowen"", ""D. Cowen"", ""D F. Cowen"", ""D. F. Cowen""]",185,7108,135310074.0,5061039751,2024-02-21T08:35:13.163110
5080782025,0000-0002-6516-8352,Walter R. Boynton,"[""W.R Boynton"", ""Walter R. Boynton"", ""Walter Raymond Boynton"", ""W. R. Boynton"", ""Walter Boynton"", ""W. Boynton""]",105,7011,149521062.0,5080782025,2024-02-21T18:11:28.421832
5022729625,,Richard G. Hansford,"[""R. Hansford"", ""Richard Hansford"", ""Richard G. Hansford"", ""R. G. Hansford""]",93,6774,133879957.0,5022729625,2024-02-21T02:08:19.869577
5036662362,,GF Baxter,"[""Gary Francis Baxter"", ""Gf Baxter"", ""G.F Baxter"", ""Baxter Gf"", ""G. F. Baxter"", ""Gary F. Baxter""]",103,6691,79510175.0,5036662362,2024-02-21T22:08:29.968467
5080874815,,Tadashi Koike,"[""T. Koike"", ""Tadashi Koike""]",215,6505,71395657.0,5080874815,2024-02-21T02:29:11.346165
5062074070,,C. Georgiopoulos,"[""Christos Haralampos Georgiopoulos"", ""Christos H. Georgiopoulos"", ""C. H. Georgiopoulos"", ""C. Georgiopoulos""]",212,6502,103163165.0,5062074070,2024-02-21T03:22:39.354132
5051475312,0000-0003-2449-2663,Gerald L. Hazelbauer,"[""G. L. Hazelbauer"", ""Gerald L. Hazelbauer""]",119,6479,76835614.0,5051475312,2024-02-21T12:12:43.063253
5052205279,,Edward E. Max,"[""E. E. Max"", ""Edward E. Max"", ""Edward Max"", ""E. Max""]",90,6355,1333606569.0,5052205279,2024-02-21T05:07:24.708979
5079362604,,Francis J. Lovas,"[""F J. Lovas"", ""Francis J. Lovas"", ""F. Lovas"", ""F. J. Lovas"", ""F.J Lovas""]",212,6342,1321296531.0,5079362604,2024-02-21T13:03:47.931781
5081763586,,E. Tscheslog,"[""E. Tscheslog""]",67,6190,4210148700.0,5081763586,2024-02-21T08:13:19.118025
5034812092,,Serge Jard,"[""Serge Jard"", ""S. Jard""]",159,6180,187986737.0,5034812092,2024-02-21T08:20:12.247251
5046371155,,G. Salvini,"[""Giorgio Salvini"", ""G. Salvini""]",173,6174,4210098972.0,5046371155,2024-02-21T13:38:18.347286
5008144877,,M. Г. Крейн,"[""M. G. Kreĭn"", ""Mark Krein"", ""M. Крейн"", ""M. G. Krein"", ""M. Kreĭn"", ""M. Г. Крейн"", ""M G Kreǐn"", ""M.G Krein"", ""M. Krein"", ""Mark G. Krein""]",100,6156,2802542201.0,5008144877,2024-02-21T07:17:20.874196
5025389409,,John Tait,"[""J. F. Tait"", ""James F. Tait"", ""John Tait"", ""J. Tait"", ""J. I. Tait"", ""John I. Tait"", ""James Francis Tait"", ""John Irving Tait"", ""J. F.. Tait""]",265,6115,1289784979.0,5025389409,2024-02-21T09:04:04.855813
5045820780,0000-0001-5509-2561,Adrian Feiguin,"[""A. E. Feiguin"", ""Adrian Feiguin"", ""Adrian E. Feiguin"", ""A. Feiguin""]",215,6112,12912129.0,5045820780,2024-02-21T02:04:48.561964
5012287162,,Samuel E. DePrimo,"[""Samuel Deprimo"", ""S. E. Deprimo"", ""S.E DePrimo"", ""Samuel E. Deprimo"", ""S. Deprimo""]",52,6106,4210154172.0,5012287162,2024-02-21T10:38:10.363081
5044782313,,L. B. Crittenden,"[""L. B. Crittenden"", ""Lyman Crittenden"", ""Lyman B. Crittenden"", ""Lyman Butler Crittenden"", ""L. Crittenden""]",157,6087,1341202592.0,5044782313,2024-02-21T02:01:24.570320
5062872027,,Lee‐Yuan Liu‐Chen,"[""L. ‐Y. Liu‐Chen"", ""L. Y. Liu‐Chen"", ""Lee‐Yuan Y Liu‐Chen"", ""Lee‐Yuan. Liu‐Chen"", ""L LIUCHEN""]",172,6086,2801004183.0,5062872027,2024-02-21T03:13:34.063170
5089362934,,Gilbert S. Greenwald,"[""Gilbert Greenwald"", ""Gilbert S. Greenwald"", ""G. S. Greenwald"", ""G. Greenwald"", ""G. S Greenwald""]",250,6074,4210128618.0,5089362934,2024-02-21T23:41:40.693102
