id,wikidata,display_name,level,description,works_count,cited_by_count,image_url,image_thumbnail_url,works_api_url,updated_date
105794591,775007,Walsh diagram,4,,0,0,wikipedia/commons/1/15/Walsh_diagram_intro.svg,wikipedia/commons/thumb/1/15/Walsh_diagram_intro.svg/85px-Walsh_diagram_intro.svg.png,105794591,2023-06-07
127086826,745416,Clausius–Clapeyron relation,2,relation between vapour pressure and temperature,0,0,,,127086826,2023-06-07
144403538,1608174,Euler's factorization method,5,,0,0,,,144403538,2023-06-07
169426311,605624,Coandă effect,3,tendency of a fluid jet to stay attached to a convex surface,0,0,wikipedia/commons/3/3f/CoandaEffekt2.jpg,wikipedia/commons/thumb/3/3f/CoandaEffekt2.jpg/74px-CoandaEffekt2.jpg,169426311,2023-06-07
191463242,2246292,Schmidt decomposition,5,process in linear algebra,0,0,,,191463242,2023-06-07
199789176,1456044,Embryonic diapause,4,reproductive strategy,0,0,,,199789176,2023-06-07
27036048,4669936,Abstract algebraic logic,5,"study of the algebraization of deductive systems, based on the Lindenbaum–Tarski algebra",0,0,,,27036048,2023-06-07
2776446210,21695,Grebe,2,family of birds,0,0,wikipedia/commons/6/66/Podiceps_nigricollis_001.jpg,wikipedia/commons/thumb/6/66/Podiceps_nigricollis_001.jpg/100px-Podiceps_nigricollis_001.jpg,2776446210,2023-06-07
2776551893,4947441,Bosonic field,3,type of quantum field,0,0,,,2776551893,2023-06-07
2777001577,3792460,Subdural hygroma,2,"collection of cerebrospinal fluid (CSF), without blood, located under the dural membrane",0,0,wikipedia/commons/4/41/Subdural_hygroma%2C_frontal_and_temporal.jpg,wikipedia/commons/thumb/4/41/Subdural_hygroma%2C_frontal_and_temporal.jpg/80px-Subdural_hygroma%2C_frontal_and_temporal.jpg,2777001577,2023-06-07
2777223228,7239897,Pregnanetriol,4,chemical compound,0,0,wikipedia/commons/b/b7/Pregnanetriol.png,wikipedia/commons/thumb/b/b7/Pregnanetriol.png/100px-Pregnanetriol.png,2777223228,2023-06-07
2778310818,902034,Ethoxylation,5,chemical reaction,0,0,,,2778310818,2023-06-07
2778382403,2659787,Motion detector,3,"device that detects moving objects, particularly people",0,0,wikipedia/commons/2/2e/Motion_detector.jpg,wikipedia/commons/thumb/2/2e/Motion_detector.jpg/78px-Motion_detector.jpg,2778382403,2023-06-07
2778666239,5150905,Combined hyperlipidemia,5,medical condition,0,0,wikipedia/commons/4/4e/Autosomal_dominant_-_en.svg,wikipedia/commons/thumb/4/4e/Autosomal_dominant_-_en.svg/58px-Autosomal_dominant_-_en.svg.png,2778666239,2023-06-07
2778882282,7476747,Uridine phosphorylase,5,class of enzymes,0,0,,,2778882282,2023-06-07
2778989716,409423,Oct-4,5,mammalian protein found in Homo sapiens,0,0,wikipedia/commons/0/03/Ideogram_human_chromosome_6.svg,wikipedia/commons/thumb/0/03/Ideogram_human_chromosome_6.svg/100px-Ideogram_human_chromosome_6.svg.png,2778989716,2023-06-07
2779097976,419676,Ammonium heptamolybdate,3,chemical compound,0,0,wikipedia/commons/8/87/Heptamolybdenan_amonn%C3%BD.JPG,wikipedia/commons/thumb/8/87/Heptamolybdenan_amonn%C3%BD.JPG/100px-Heptamolybdenan_amonn%C3%BD.JPG,2779097976,2023-06-07
2780124186,7114204,Conalbumin,4,,0,0,wikipedia/commons/5/5e/PDB_1gvc_EBI.jpg,wikipedia/commons/thumb/5/5e/PDB_1gvc_EBI.jpg/100px-PDB_1gvc_EBI.jpg,2780124186,2023-06-07
2780178557,2715751,Nicotiana sylvestris,5,species of plant,0,0,wikipedia/commons/8/86/Ziertabak.jpg,wikipedia/commons/thumb/8/86/Ziertabak.jpg/75px-Ziertabak.jpg,2780178557,2023-06-07
2780217532,423204,Xylulose,4,chemical compound,0,0,wikipedia/commons/b/b9/Xylulose.png,wikipedia/commons/thumb/b/b9/Xylulose.png/100px-Xylulose.png,2780217532,2023-06-07
2780653195,7800789,Tidal prism,3,"volume of water in an estuary or inlet between mean high tide and mean low tide,",0,0,,,2780653195,2023-06-07
2780741605,140326,Baetis,4,genus of insects,0,0,wikipedia/commons/9/98/Baetis_P1650539a.jpg,wikipedia/commons/thumb/9/98/Baetis_P1650539a.jpg/100px-Baetis_P1650539a.jpg,2780741605,2023-06-07
2781226620,157503,Fritillaria,4,genus of plants,0,0,wikipedia/commons/6/68/Fritillaria_meleagris0.jpg,wikipedia/commons/thumb/6/68/Fritillaria_meleagris0.jpg/75px-Fritillaria_meleagris0.jpg,2781226620,2023-06-07
2781271947,30676598,Banach lattice,3,,0,0,,,2781271947,2023-06-07
2781378340,1144815,Taxus cuspidata,3,species of plant,0,0,wikipedia/commons/f/f3/Taxus_cuspidata_fruits.JPG,wikipedia/commons/thumb/f/f3/Taxus_cuspidata_fruits.JPG/100px-Taxus_cuspidata_fruits.JPG,2781378340,2023-06-07
2781389623,559688,Network emulation,3,controlled environment simulating real-world network scenarios in order to validate realistic performance of products,0,0,,,2781389623,2023-06-07
