concept_id,openalex,wikidata,wikipedia,umls_aui,umls_cui,mag
105794591,105794591,775007,Walsh%20diagram,,,105794591
127086826,127086826,745416,Clausius%E2%80%93Clapeyron%20relation,,,127086826
144403538,144403538,1608174,Euler%27s%20factorization%20method,,,144403538
169426311,169426311,605624,Coand%C4%83%20effect,,,169426311
191463242,191463242,2246292,Schmidt%20decomposition,,,191463242
199789176,199789176,1456044,Embryonic%20diapause,,,199789176
27036048,27036048,4669936,Abstract%20algebraic%20logic,,,27036048
2776446210,2776446210,21695,Grebe,,"[""C0325357""]",2776446210
2776551893,2776551893,4947441,Bosonic%20field,,,2776551893
2777001577,2777001577,3792460,Subdural%20hygroma,,"[""C0751533""]",2777001577
2777223228,2777223228,7239897,Pregnanetriol,,"[""C0033007""]",2777223228
2778310818,2778310818,902034,Ethoxylation,,,2778310818
2778382403,2778382403,2659787,Motion%20detector,,"[""C1709075""]",2778382403
2778666239,2778666239,5150905,Combined%20hyperlipidemia,,"[""C2712907""]",2778666239
2778882282,2778882282,7476747,Uridine%20phosphorylase,,"[""C0042006""]",2778882282
2778989716,2778989716,409423,Oct-4,,"[""C0069304""]",2778989716
2779097976,2779097976,419676,Ammonium%20heptamolybdate,,"[""C4520805""]",2779097976
2780124186,2780124186,7114204,Ovotransferrin,,"[""C0009629""]",2780124186
2780178557,2780178557,2715751,Nicotiana%20sylvestris,,"[""C0996933""]",2780178557
2780217532,2780217532,423204,Xylulose,,"[""C0043377""]",2780217532
2780653195,2780653195,7800789,Tidal%20prism,,,2780653195
2780741605,2780741605,140326,Baetis,,"[""C1212935""]",2780741605
2781226620,2781226620,157503,Fritillaria,,"[""C0331601""]",2781226620
2781271947,2781271947,30676598,Banach%20lattice,,,2781271947
2781378340,2781378340,1144815,Taxus%20cuspidata,,"[""C0330201""]",2781378340
2781389623,2781389623,559688,Network%20emulation,,,2781389623
2781442239,2781442239,420669,Ferroin,,"[""C0060269""]",2781442239
2781460488,2781460488,16966324,Intravenous%20leiomyomatosis,,"[""C0346200""]",2781460488
2908793008,2908793008,165354,Key%20lime,"[""A18588299"", ""A2004026""]","[""C0946608""]",2908793008
2909387136,2909387136,133076,Hernia,"[""A3316279"", ""A1560499"", ""A18563396"", ""A22708313""]","[""C0341539""]",2909387136
2909447094,2909447094,27095725,Ginsenoside%20Rb1,"[""A0188568"", ""A27799819""]","[""C0119192""]",2909447094
2910009623,2910009623,1164991,Dyeing,"[""A1102072"", ""A22978942"", ""A3209665"", ""A4842044""]","[""C0440019""]",2910009623
2911188655,2911188655,12457,International%20System%20of%20Units,"[""A15834889"", ""A18368051"", ""A23482888"", ""A8554850"", ""A8554851""]","[""C1545982""]",2911188655
2983632452,2983632452,7047723,Noise%20print,,,2983632452
2992064113,2992064113,1775665,The%20Beta%20Band,,,2992064113
2992553096,2992553096,8038545,Writing%20therapy,,,2992553096
3017515992,3017515992,127418,Ink,,"[""C1705332""]",3017515992
3020659265,3020659265,2782326,Case%20report,,,3020659265
34566666,34566666,13464614,Ceramic%20art,,,34566666
51201719,51201719,2124480,ROMK,,"[""C1416576""]",51201719
55381615,55381615,837488,Neil%20Gehrels%20Swift%20Observatory,,,55381615
68466841,68466841,4771247,Antenna%20amplifier,,,68466841
93097992,93097992,908250,Long%20interspersed%20nuclear%20element,,"[""C1517938""]",93097992
2776200136,2776200136,1772910,Scientific%20racism,,,2776200136
201373426,201373426,188956,Plant%20pathology,,"[""C3179054""]",201373426
98059654,98059654,5171072,Cornacchia%27s%20algorithm,,,98059654
105063623,105063623,253172,HACEK%20organisms,,,105063623
2778102385,2778102385,5160294,Confrontation%20Clause,,,2778102385
