institution_id,associated_institution_id,relationship
4210114181,1322918889,parent
116121188,4210093996,parent
4210109507,1290206253,parent
4210144892,4210147814,parent
2799386879,1289702989,parent
4210125827,4210122704,parent
4210145985,4210097352,parent
4210123396,4210088742,parent
4210146923,4210102333,child
891764251,4210094640,parent
4210095839,200439574,parent
4210121255,4210103164,parent
4210132505,171589843,parent
4210111602,133593841,parent
4210121135,4210094794,parent
4210128710,889804353,parent
4210115994,4210111466,parent
4210130403,4210139826,parent
4210095775,4210092805,parent
4210092195,4210141305,parent
4210119771,146461966,parent
4210091737,4210140124,parent
2800176349,2802232723,parent
4210101566,4210145655,parent
4210164292,36169673,parent
2800849637,3132238960,parent
4210124342,123269071,related
4210124342,35400787,related
4210124342,39481719,related
4210124342,5023651,related
4210124342,45683168,related
4210124342,43406934,related
4210124342,70931966,related
4210124342,135117807,related
4210124342,159129438,related
4210124342,63341726,related
4210124342,9736820,related
4210148168,4210136262,child
4210126523,4210141039,parent
4210114475,4210130734,child
4210110200,4210125787,parent
4210094069,880619579,parent
4210127675,4210093975,child
4210127675,4210121393,child
4210127675,4210111278,child
4210127675,4210151028,child
4210127675,4210137729,child
4210127675,4210115037,child
4210127675,4210125767,child
4210127675,4210138634,child
4210127675,4210145356,child
4210127675,4210151568,child
4210127675,4210113864,child
4210127675,4210125356,child
4210127675,4210157115,child
4210127675,4210101003,child
4210127675,4210133738,child
4210127675,4210086353,child
4210127675,4210115607,child
4210127675,4210143638,child
4210127675,4210140941,child
4210127675,4210153189,child
4210127675,4210153839,child
4210127675,4210126393,child
4210127675,11385950,parent
4210094445,4210088980,parent
2800952887,91221267,parent
4210141871,220619192,parent
4210154067,4210087271,child
4210154067,4210108712,child
4210113233,4210148133,child
4210135440,4210104184,parent
4210130835,1341412227,parent
4210131703,4210163709,parent
4210129606,1320343167,parent
4210125311,4210139897,parent
4210107238,118019719,parent
4210095189,1343052199,parent
4210086308,4210113900,parent
4210100602,4210117482,parent
4210088886,4210124763,parent
2800314713,2800756461,parent
2802256902,4210160466,parent
4210091998,4210162307,parent
4210152609,4210093322,parent
4210159943,114132059,parent
4210109503,4210154351,parent
4210092794,183918463,parent
4210120141,4210166390,child
4210117960,4210110923,parent
4210131077,2800683076,parent
4210093534,1292669757,parent
4210118309,1295929820,parent
4210119783,1319490839,parent
4210122652,183367347,parent
4210153893,4210111617,parent
4210086473,4210091241,parent
4210127732,67348948,parent
4210129040,88101031,parent
4210115250,1284886586,parent
2799815508,56066814,parent
4210103995,1289550199,parent
2802556819,2802080466,parent
4210120119,4210155258,parent
4210149995,4210130709,child
4210137343,4210129777,child
4210137343,4210109717,child
4210160385,199157343,parent
4210127168,2801037857,parent
4210120911,16443873,related
4210120911,166934088,related
4210147925,4210129253,parent
4210090579,315704651,parent
4210150333,146461966,parent
4210128738,2250650973,parent
5053375,1291072267,parent
4210125538,4210151693,parent
4210161288,4210103439,parent
4210119093,4210111427,related
2800395511,2799601127,parent
4210151728,2802381302,parent
4210129467,4210134900,parent
4210098801,4210163439,parent
4210099630,4210096940,parent
4210107005,4210107056,parent
4210133553,4210163040,parent
4210087378,1340210623,parent
4210106435,4210086565,parent
4210103699,32881790,related
4210102317,4210113060,parent
4210136541,4210133341,parent
4210135529,4210141380,parent
4210106709,1293226324,parent
2802922324,2802232723,parent
4210122834,4210119581,parent
4210151009,1723204,parent
4210093708,4210144117,parent
4210151660,45973442,child
4210151660,11809675,child
