id,issn_l,issn,display_name,publisher,works_count,cited_by_count,is_oa,is_in_doaj,homepage_url,works_api_url,updated_date
186893535,0002-9475,"[""1086-3168"", ""0002-9475""]",American Journal of Philology,Johns Hopkins University Press,8268,38975,False,False,journals/american_journal_of_philology/index.html,186893535,2024-02-23T07:59:41.392170
2764633851,0065-2849,"[""0065-2849""]",Advances in lipid research,Elsevier BV,380,14537,False,False,,2764633851,2024-02-23T16:21:08.625951
4210229599,0065-9711,"[""0065-9711"", ""2325-9213""]",Transactions and proceedings of the American Philological Association,Johns Hopkins University Press,1502,10335,False,False,journals/00659711.html,4210229599,2024-02-23T07:42:43.549199
2764961556,,,National Center for Education Statistics,,880,10190,False,False,https://nces.ed.gov,2764961556,2024-02-23T09:31:47.987595
4306465910,,,Atlas eBooks,Atlas,152,9262,False,False,,4306465910,2024-02-23T01:07:46.808404
4306488690,,,Macmillan Education UK-London eBooks,Macmillan Education UK-London,49,9257,False,False,,4306488690,2024-02-23T03:12:05.912457
2764881039,0737-5328,"[""0737-5328""]",Teacher Education Quarterly,,1105,8943,False,False,,2764881039,2024-02-23T08:41:32.205229
4210182089,1940-641X,"[""1940-641X"", ""2329-1176""]",The Classical weekly,Classical Association of the Atlantic States,5617,7725,False,False,journals/1940641X.html,4210182089,2024-02-23T06:04:02.059780
2764381488,0003-4827,"[""2473-9006"", ""0003-4827""]",The Annals of Iowa,University of Iowa,10874,7686,True,False,,2764381488,2024-02-23T11:03:07.866419
4210173592,0033-2151,"[""0033-2151"", ""2299-002X""]",Przegląd Geologiczny,Polish Geological Institute - National Research Institute (PGI-NRI),8419,7681,True,False,oferta-inst/wydawnictwa/czasopisma/przeglad-geologiczny.html,4210173592,2024-02-23T05:30:05.159069
2765019749,,,The Journal of Reading,International Literacy Association,2249,7404,False,False,,2765019749,2024-02-23T05:11:29.331433
4210233686,0034-9429,"[""2340-3632"", ""0034-9429""]",Revista española de la opinión pública,Instituto de la Opinión Pública,1960,7404,False,False,action/showPublication?journalCode=revespdelaoppub&,4210233686,2024-02-23T10:03:08.858604
4210218705,1664-5561,"[""1664-5561""]",Medical epigenetics,S. Karger AG,26,7388,True,False,http://www.karger.com?issn=1664-5561,4210218705,2024-02-23T07:31:58.767943
187383566,1355-8250,"[""2051-2201"", ""1355-8250""]",Journal of Consciousness Studies,Routledge,1212,7336,False,False,jcs.html,187383566,2024-02-23T10:51:55.100268
8441994,0310-7841,"[""0310-7841"", ""1446-5655""]",Australian Journal of Plant Physiology,CSIRO Publishing,589,7106,True,False,nid/103/aid/85.htm,8441994,2024-02-23T07:42:22.681337
2764580912,1556-3847,"[""1556-3847""]",Online Journal of Distance Learning Administration,,641,6987,False,False,web/7425,2764580912,2024-02-23T10:10:07.354418
2764649054,0042-7500,"[""0042-7500""]",Vitis: Journal of Grapevine Research,Julius Kühn-Institut,1862,6956,False,False,,2764649054,2024-02-23T05:00:59.470233
4306470823,,,Fondo de Cultura Económica eBooks,Fondo de Cultura Económica,814,6912,False,False,,4306470823,2024-02-23T02:06:10.239726
4210192794,0104-5687,"[""1679-3919"", ""1809-399X"", ""0104-5687""]",Pró-fono,SciELO,322,6567,True,False,,4210192794,2024-02-23T14:52:26.390381
4306518851,,,Logistyka,,10936,6464,False,False,,4306518851,2024-02-23T06:19:52.473287
2764764382,0094-1956,"[""0094-1956""]",Journal of Instructional Psychology,,650,6320,False,False,,2764764382,2024-02-23T05:48:45.380210
4306477686,,,Penguin eBooks,Penguin,1752,6312,False,False,,4306477686,2024-02-23T03:51:18.118131
2737512657,1034-7674,"[""1034-7674"", ""1839-4345"", ""1444-8262""]",NSW Public Health Bulletin,Sax Institute,1813,6258,True,True,http://www.phrp.com.au,2737512657,2024-02-23T07:33:57.337740
4306463288,,,Food and Agriculture Organization of the United Nations eBooks,Food and Agriculture Organization of the United Nations,727,6234,False,False,,4306463288,2024-02-23T01:51:13.694848
4306496402,,,대한정형외과학회지,,6296,6131,False,False,,4306496402,2024-02-23T02:01:48.311964
4210234035,0080-2042,"[""0080-2042""]","Ergebnisse der Physiologie, biologischen Chemie und experimentellen Pharmakologie",Springer Science+Business Media,178,5855,False,False,series/112,4210234035,2024-02-23T05:56:08.797145
112731537,0734-4392,"[""0734-4392"", ""1945-2349""]",American Music,University of Illinois Press,2016,5844,False,False,,112731537,2024-02-23T08:38:41.688154
2764900296,0959-5295,"[""0959-5295"", ""2397-2564""]",The Journal of the Anthropological Institute of Great Britain and Ireland,Royal Anthropological Institute of Great Britain and Ireland,1544,5698,False,False,journal/janthinstgreabri,2764900296,2024-02-23T08:32:02.010486
34504840,0386-6157,"[""0386-6157"", ""1883-7239""]","Journal of The Society of Powder Technology, Japan","The Society of Powder Technology, Japan",4071,5629,False,False,,34504840,2024-02-23T08:53:10.870857
4306520995,,,North East Linguistics Society,,676,5439,False,False,,4306520995,2024-02-23T00:18:17.700037
4306524284,,,Proceedings of the New Zealand Society of Animal Production,New Zealand Society of Animal Production,3354,5129,False,False,,4306524284,2024-02-23T02:09:10.791104
4306482415,,,Verso eBooks,Verso,221,5117,False,False,,4306482415,2024-02-23T03:07:24.779978
4210234603,0536-1079,"[""1943-2976"", ""0536-1079""]",I & EC product research and development,American Chemical Society,479,4867,False,False,,4210234603,2024-02-23T09:10:34.691840
139349145,1366-8781,"[""1366-8781"", ""1468-4004""]",Astronomy & Geophysics,Oxford University Press,5441,4836,False,False,http://astrogeo.oxfordjournals.org/,139349145,2024-02-23T05:02:22.364015
4210211768,0253-7494,"[""0253-7494""]",World Bank technical paper,,231,4786,False,False,,4210211768,2024-02-23T10:56:41.663593
74377273,0312-9764,"[""0312-9764"", ""2200-4025""]",Telopea,National Herbarium of NSW,859,4681,True,False,,74377273,2024-02-23T05:08:55.800901
4306524007,,,Proceedings of the Biological Society of Washington.,,2852,4652,False,False,,4306524007,2024-02-23T00:44:27.594708
28836401,0036-5505,"[""0036-5505"", ""1940-2228""]",Scandinavian Journal of Rehabilitation Medicine,Foundation for Rehabilitation Information,134,4639,False,False,,28836401,2024-02-23T12:24:09.694332
4306464348,,,Zed Books,Zed Books,2725,4639,False,False,http://www.zedbooks.net,4306464348,2024-02-23T03:24:05.150560
21947851,,,Annales De L Institut Henri Poincare-physique Theorique,Publications de l´Institut Henri Poincaré,1184,4632,False,False,,21947851,2024-02-23T11:27:11.426663
4210228447,9999-1233,"[""9999-1233""]",Weekly releases (1997–2007),European Centre for Disease Control and Prevention (ECDC),2205,4514,False,False,,4210228447,2024-02-23T23:42:32.113653
2764797711,0276-928X,"[""0276-928X""]",Journal of Staff Development,,1133,4482,False,False,,2764797711,2024-02-23T07:51:53.837517
79704879,0024-2527,"[""0024-2527"", ""2159-9610""]",Library Resources & Technical Services,American Library Association,1829,4426,False,False,,79704879,2024-02-23T08:33:34.317019
4306504014,,,Bank i Kredyt,,1437,4382,False,False,,4306504014,2024-02-23T02:56:19.722224
4306507326,,,Cuadernos de pedagogía,,6650,4376,False,False,,4306507326,2024-02-23T02:55:20.511085
60034445,0004-3648,"[""0004-3648"", ""2296-4215""]",Artibus Asiae,Artibus Asiae Publishers,2179,4351,False,False,http://www.artibusasiae.com/,60034445,2024-02-23T10:20:59.207418
2764377789,1521-3374,"[""1521-3374""]",Education Statistics Quarterly,,205,4296,False,False,,2764377789,2024-02-23T12:13:35.236044
4210178584,0031-9430,"[""0031-9430"", ""2377-7583""]",Phytologia,Smithsonian Institution Biodiversity Heritage Library,1591,4277,True,False,https://www.phytologia.org,4210178584,2024-02-23T09:19:34.224651
75244570,0012-9402,"[""0012-9402"", ""1420-9128""]",Eclogae Geologicae Helvetiae,Swiss Geological Society,327,4274,False,False,content/1420-9128,75244570,2024-02-23T08:35:12.893887
4306464306,,,Williams & Wilkins Co eBooks,Williams & Wilkins Co,360,4256,False,False,,4306464306,2024-02-23T03:05:03.021640
14824431,0885-7024,"[""2381-0688"", ""0885-7024""]",Civil Engineering,American Society of Civil Engineers,11105,4237,False,False,,14824431,2024-02-23T11:10:52.243885
4210190833,0010-2628,"[""0010-2628"", ""1213-7243""]",Commentationes Mathematicae Universitatis Carolinae,"Charles University in Prague, Karolinum Press",2497,4218,False,False,http://cmuc.karlin.mff.cuni.cz,4210190833,2024-02-23T05:17:18.950317
167045310,0022-4154,"[""0022-4154""]",Journal of Rehabilitation,University of Social Welfare and Rehabilitation Sciences,945,4192,False,False,,167045310,2024-02-23T10:08:38.397915
134948390,0024-0672,"[""0024-0672""]",Zoologische Mededelingen,Naturalis Biodiversity Center,1892,4189,False,False,http://www.zoologischemededelingen.nl/,134948390,2024-02-23T05:21:33.958670
179234039,0361-2759,"[""0361-2759"", ""1930-8280""]",History: Reviews of New Books,Taylor & Francis,10202,4174,False,False,vhis20,179234039,2024-02-23T06:11:52.003728
2764944799,0264-2425,"[""0264-2425""]",Reading in a foreign language,,339,4131,False,False,web/6047,2764944799,2024-02-23T10:39:56.125106
4306463770,,,Praeger eBooks,Praeger,1268,4108,False,False,,4306463770,2024-02-23T19:31:36.378003
4210215105,1231-7853,"[""1231-7853""]",Marketing i Rynek,Polskie Wydawnictwo Ekonomiczne,3491,4088,False,False,http://www.pwe.com.pl,4210215105,2024-02-23T08:49:22.486809
201711328,0258-7696,"[""0258-7696"", ""1726-1368""]",Transformation: Critical Perspectives on Southern Africa,,892,4040,False,False,http://www.transformation.und.ac.za,201711328,2024-02-23T04:09:19.822267
2765006665,,,The School Administrator,American Association of School Administrators,1709,3978,False,False,,2765006665,2024-02-23T12:14:02.933090
4306470294,,,Espasa-Calpe eBooks,Espasa-Calpe,1380,3961,False,False,,4306470294,2024-02-23T01:08:05.691277
4306473931,,,Jossey-Bass Publishers eBooks,Jossey-Bass Publishers,166,3938,False,False,,4306473931,2024-02-23T00:29:44.684002
4306482941,,,Wissenschaftliche Buchgesellschaft eBooks,Wissenschaftliche Buchgesellschaft,1831,3930,False,False,,4306482941,2024-02-23T01:16:07.216866
4306465107,,,Alianza eBooks,Alianza,385,3910,False,False,,4306465107,2024-02-23T02:17:16.357050
2765044994,,,Journal of Agricultural Research,Directorate of Agricultural Information,2144,3888,False,False,,2765044994,2024-02-23T05:38:46.173298
4210224710,1967-7375,"[""2554-8689"", ""1967-7375""]",Books,CAIRN,4475,3867,False,False,https://www.books.fr,4210224710,2024-02-23T12:43:17.322091
4306471687,,,Gredos eBooks,Gredos,342,3859,False,False,,4306471687,2024-02-23T01:05:43.321388
4306463059,,,Consulting Psychologists Press eBooks,Consulting Psychologists Press,28,3849,False,False,,4306463059,2024-02-23T01:58:16.397566
2764564467,1068-5502,"[""1068-5502"", ""2327-8285""]",Western Journal of Agricultural Economics,,507,3842,True,True,http://www.jareonline.org,2764564467,2024-02-23T06:07:23.058775
2764422564,0192-592X,"[""0192-592X""]",T.H.E. Journal,1105 Media,1444,3837,False,False,,2764422564,2024-02-23T07:43:38.446323
4210182543,0028-6621,"[""0028-6621"", ""2153-909X""]",The New scholasticism,Philosophy Documentation Center,3785,3825,False,False,newscholas,4210182543,2024-02-23T12:28:12.483683
4306521176,0251-3552,"[""0251-3552""]",Nueva sociedad,,2802,3695,False,False,,4306521176,2024-02-23T00:55:05.642058
25983388,1943-8141,"[""1943-8141""]",American Journal of Translational Research,e-Century Publishing Corporation,1308,3685,False,False,http://www.ajtr.org/,25983388,2024-02-23T12:30:20.296107
4306470974,,,"Free Press , Collier Macmillan eBooks","Free Press , Collier Macmillan",69,3669,False,False,,4306470974,2024-02-23T01:47:51.910898
4306471870,,,Hachette eBooks,Hachette,2608,3656,False,False,,4306471870,2024-02-23T00:56:12.109691
4210177666,0001-026X,"[""0001-026X"", ""2326-9014""]",AAUP bulletin,JSTOR,1453,3610,False,False,books?id=trY_AQAAIAAJ,4210177666,2024-02-23T04:57:55.610828
4306463166,,,Éditions de Minuit eBooks,Les Éditions de Minuit,247,3550,False,False,,4306463166,2024-02-23T00:55:10.043608
14445259,1043-1578,"[""1043-1578"", ""2327-641X""]",Social Justice,Social Justice,973,3526,False,False,http://www.socialjusticejournal.org/,14445259,2024-02-23T04:34:36.307078
2764647102,,,Mathematica Policy Research Reports,,3402,3522,False,False,,2764647102,2024-02-23T12:20:57.380355
4306522964,,,Prace Naukowe / Akademia Ekonomiczna w Katowicach,,6164,3515,False,False,,4306522964,2024-02-23T02:13:26.164902
2738082917,1059-308X,"[""1059-308X""]",School Community Journal,Academic Development Institute,499,3503,True,True,SCJ.aspx,2738082917,2024-02-23T06:03:02.686854
2764343864,0003-1003,"[""0003-1003"", ""2326-9618""]",American Secondary Education,,348,3497,False,False,books?id=HxorAAAAMAAJ,2764343864,2024-02-23T04:15:03.808027
62427620,1063-6552,"[""1063-6552"", ""1558-1861""]",IEEE Parallel & Distributed Technology: Systems & Applications,Institute of Electrical and Electronics Engineers,169,3483,False,False,books?id=jEpVAAAAMAAJ,62427620,2024-02-23T12:09:17.902694
4306462860,,,Ashgate eBooks,Ashgate,2304,3478,False,False,,4306462860,2024-02-23T02:14:07.671543
955795595,,,Zywnosc-nauka Technologia Jakosc,Polish Society of Food Technologists,1427,3473,False,False,,955795595,2024-02-23T08:40:09.741315
1013561213,0016-5301,"[""0016-5301"", ""0717-6643""]",Gayana Botanica,,681,3462,True,True,https://gayanabotanica.cl/,1013561213,2024-02-23T04:33:15.129284
4210186704,2192-4848,"[""2365-9890"", ""2192-4848""]",Forschungsjournal soziale Bewegungen,De Gruyter,2190,3440,False,False,http://forschungsjournal.de,4210186704,2024-02-23T03:56:19.612551
