id,display_name,subfield_id,subfield_display_name,field_id,field_display_name,domain_id,domain_display_name,description,keywords,works_api_url,wikipedia_id,works_count,cited_by_count,updated_date
13598,Challenges in Global Governance and Pluralism,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,"This cluster of papers explores challenges in global governance, including pluralism, policy implementation, sustainable development, religious harmony, energy transitions, digital transformation, election law, and cultural identity. It delves into topics such as the implications of Russia's actions, the role of education in childhood wellbeing, and the impact of digital technology expansion on unemployment. The cluster also addresses the intersection of politics, economics, and social issues in various countries and regions.",Global Governance; Pluralism; International Relations; Policy Implementation; Sustainable Development; Religious Harmony; Energy Transitions; Digital Transformation; Election Law; Cultural Identity,works?filter=topics.id:T13598,Global_governance,90,250,2024-02-21T22:43:20.261385
10077,Molecular Mechanisms of Synaptic Plasticity and Neurological Disorders,2804,Cellular and Molecular Neuroscience,28,Neuroscience,1,Life Sciences,"This cluster of papers explores the molecular mechanisms underlying synaptic plasticity, focusing on neurotransmission, GABAergic and glutamatergic systems, neuronal circuits, astrocyte function, NMDA receptors, dendritic spines, and long-term potentiation. The research also investigates the relevance of these mechanisms to neurological disorders.",Synaptic Plasticity; Neurotransmission; GABAergic; Glutamate Receptors; Neuronal Circuits; Astrocyte Function; NMDA Receptors; Dendritic Spines; Long-Term Potentiation; Neurological Disorders,works?filter=topics.id:T10077,Synaptic_plasticity,188189,7229989,2024-02-26T04:50:40.527696
10002,Advancements in Density Functional Theory,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,"This cluster of papers represents advancements in density functional theory, including the development of dispersion correction methods, ab initio parametrization, wavefunction analyzers, and continuum solvation models. It also covers topics such as semiempirical methods, van der Waals interactions, hybrid density functionals, molecular simulations, and electronic structure calculations.",Density Functional Theory; Dispersion Correction; Ab Initio Parametrization; Wavefunction Analyzer; Semiempirical Methods; Van der Waals Interactions; Continuum Solvation Models; Hybrid Density Functionals; Molecular Simulations; Electronic Structure Calculations,works?filter=topics.id:T10002,Density_functional_theory,174372,6253608,2024-02-26T04:53:11.850219
10001,Tectonic and Geochronological Evolution of Orogens,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,"This cluster of papers focuses on the tectonic evolution and geochronological analysis of orogenic processes, with a particular emphasis on zircon geochemistry, isotopic composition, and thermodynamic modeling. It covers topics such as subduction zones, mantle evolution, plate tectonics, and the growth of continental crust.",Zircon; Geochronology; Tectonics; Granitic Rocks; Isotopic Composition; Subduction Zones; Mantle Evolution; Plate Tectonics; Thermodynamic Modeling; Continental Growth,works?filter=topics.id:T10001,Geochronology,216444,5976114,2024-02-26T04:50:43.254240
10015,RNA Sequencing Data Analysis,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,"This cluster of papers focuses on the statistical analysis, alignment, and annotation of RNA sequencing data, including methods for transcript quantification, phylogenetic analysis, genome assembly, and quality assessment in functional genomics. It also covers tools for sequence variation analysis and metagenomics assembly.",RNA-seq; sequence alignment; phylogenetic analysis; genome annotation; transcript quantification; metagenomics assembly; sequence variation; phylogenetic tree; functional genomics; quality assessment,works?filter=topics.id:T10015,RNA-Seq,108711,5732472,2024-02-26T04:47:44.021385
10017,Climate Change and Paleoclimatology,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,"This cluster of papers encompasses research on climate change and paleoclimatology, including topics such as glacial cycles, Holocene climate variability, sea level fluctuations, monsoon dynamics, greenhouse warming, ice core records, solar influence on climate, and atmospheric CO2 concentrations over various timescales.",Climate Change; Paleoclimatology; Glacial Cycles; Holocene; Sea Level; Monsoon Dynamics; Greenhouse Warming; Ice Core Records; Solar Influence; Atmospheric CO2,works?filter=topics.id:T10017,Paleoclimatology,267317,4573322,2024-02-26T04:53:49.422032
10521,Ribosome Structure and Translation Mechanisms,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,"This cluster of papers focuses on the structure of ribosomes, mechanisms of translation, RNA secondary structure prediction, genetic code expansion, codon usage, tRNA dynamics, and riboswitches. It explores the molecular mechanisms underlying protein synthesis and the role of RNA in regulating translation. The research also delves into the impact of ribosome structure on cellular processes and the potential applications in synthetic biology.",Ribosome; Translation; RNA Structure; Genetic Code; Codon Usage; tRNA; Riboswitches; Protein Synthesis; Secondary Structure Prediction; Metabolite Binding,works?filter=topics.id:T10521,Ribosome,132336,4461939,2024-02-26T04:51:55.733671
11020,Natural Killer Cells in Immunity,2403,Immunology,24,Immunology and Microbiology,1,Life Sciences,"This cluster of papers explores the role of natural killer (NK) cells in immunity, including their recognition mechanisms, activation, education, development, and potential for therapy. It covers topics such as NK cell receptors, immune inhibitory receptors, NKG2D immunoreceptor, and the use of NK cells in immunotherapy.",Natural Killer Cells; NK Cell Recognition; Immune Inhibitory Receptors; NKG2D Immunoreceptor; NK Cell Activation; NK Cell Education; NK Cell Therapy; NK Cell Receptors; NK Cell Development; NK Cell Immunotherapy,works?filter=topics.id:T11020,Natural_killer_cell,141370,4357769,2024-02-26T04:50:51.067964
10078,Photocatalytic Materials for Solar Energy Conversion,2105,"Renewable Energy, Sustainability and the Environment",21,Energy,3,Physical Sciences,"This cluster of papers covers advances in the development of photocatalytic materials for solar energy conversion, with a focus on semiconductor-based photocatalysts, visible light-driven water splitting, graphene-based nanocomposites, and plasmonic enhancement. The research also explores the use of these materials for hydrogen production, CO2 reduction, and overall water splitting, aiming to address the challenges of sustainable energy generation.",Photocatalyst; Semiconductor; Visible Light; Water Splitting; Graphene; Hydrogen Production; Nanomaterials; Plasmonic; CO2 Reduction; Solar Energy,works?filter=topics.id:T10078,Photocatalysis,114051,4258277,2024-02-26T04:58:21.310492
10487,Impact of Pollinator Decline on Ecosystems and Agriculture,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,"This cluster of papers explores the impact of pollinator decline on ecosystems and agriculture, focusing on plant-animal interactions, biodiversity, crop pollination, habitat fragmentation, and the effects of global change and invasive species. The papers discuss the importance of pollinators for ecosystem services and highlight the challenges posed by climate change and habitat loss to pollinator populations.",Pollinator Decline; Ecosystem Services; Plant-Animal Interactions; Biodiversity; Crop Pollination; Habitat Fragmentation; Mutualistic Networks; Global Change; Invasive Species; Climate Change,works?filter=topics.id:T10487,Pollinator_decline,207050,4038282,2024-02-26T04:51:17.976454
10018,Lithium-ion Battery Technology,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,"This cluster of papers focuses on advancements in lithium-ion battery technology, including research on battery materials, nanostructured anodes, cathode materials, and electrode materials. It also covers topics related to energy storage, electrochemical performance, and rechargeable batteries.",Lithium-ion Batteries; Battery Materials; Energy Storage; Nanostructured Anodes; Cathode Materials; Electrochemical Performance; Rechargeable Batteries; Anode Materials; Battery Technology; Electrode Materials,works?filter=topics.id:T10018,Lithium-ion_battery,123165,3935193,2024-02-26T04:51:00.115852
10086,Mechanisms of Alzheimer's Disease,2737,Physiology,27,Medicine,4,Health Sciences,"This cluster of papers focuses on the research and mechanisms related to Alzheimer's disease, including the amyloid hypothesis, tau pathology, protein misfolding, neuroinflammation, synaptic dysfunction, oxidative stress, genetic associations, Aß oligomers, neurodegeneration, and therapeutic strategies.",Amyloid Hypothesis; Tau Pathology; Protein Misfolding; Neuroinflammation; Synaptic Dysfunction; Oxidative Stress; Genetic Association; Aß Oligomers; Neurodegeneration; Therapeutic Strategies,works?filter=topics.id:T10086,Alzheimer%27s_disease_research,86490,3887455,2024-02-26T04:50:26.782075
10303,Molecular Mechanisms of Photosynthesis and Photoprotection,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,"This cluster of papers explores the molecular mechanisms underlying photosynthesis, including the structure and function of photosystems, light harvesting complexes, electron transport pathways, and photoprotective processes. It delves into topics such as chloroplast proteins, cyanobacterial genomes, photoinhibition, Rubisco structure, plastid gene expression, and singlet oxygen production.",Photosystem II; Light Harvesting; Electron Transport; Chloroplast Proteins; Cyanobacterial Genomes; Photoinhibition; Rubisco Structure; Plastid Gene Expression; Singlet Oxygen Production; Photosynthetic Acclimation,works?filter=topics.id:T10303,Photosynthesis,124107,3840250,2024-02-26T04:52:44.490035
