work_id,author_position,author_id,institution_id,raw_affiliation_string
4310960001,first,5011244104,186246823.0,"In Vitro Culture and Plant Genetics Unit, Department of Botany, University of Lucknow, Lucknow, 226007, Uttar Pradesh, India."
4310960001,middle,5091686644,186246823.0,"In Vitro Culture and Plant Genetics Unit, Department of Botany, University of Lucknow, Lucknow, 226007, Uttar Pradesh, India."
4310960001,middle,5010447879,186246823.0,"In Vitro Culture and Plant Genetics Unit, Department of Botany, University of Lucknow, Lucknow, 226007, Uttar Pradesh, India."
4310960001,last,5075822266,186246823.0,"In Vitro Culture and Plant Genetics Unit, Department of Botany, University of Lucknow, Lucknow, 226007, Uttar Pradesh, India. gaurigupta72@yahoo.com."
2051135645,first,5007428634,,etienne.laverse{at}imperial.ac.uk
2051135645,middle,5076268018,4210093966.0,"Southend Hospital, Southend, Essex, SS0 7DB, UK"
2051135645,middle,5037703738,4210093966.0,"Southend Hospital, Southend, Essex, SS0 7DB, UK"
2051135645,last,5072262259,,"Health Protection Agency Centre for Infections, Laboratory of Gastrointestinal Pathogens, 61 Colindale Avenue, London, NW9 5EQ, UK"
2051136151,first,5055704153,47720641.0,"Department of Opto-electronics Engineering, Huazhong University of Science and Technology, 430074 Wuhan, PR China"
2051136151,middle,5054091435,47720641.0,"Department of Opto-electronics Engineering, Huazhong University of Science and Technology, 430074 Wuhan, PR China"
2051136151,middle,5064606248,47720641.0,"Department of Opto-electronics Engineering, Huazhong University of Science and Technology, 430074 Wuhan, PR China"
2051136151,middle,5059163043,47720641.0,"Department of Opto-electronics Engineering, Huazhong University of Science and Technology, 430074 Wuhan, PR China"
2051136151,middle,5047169769,47720641.0,"Department of Opto-electronics Engineering, Huazhong University of Science and Technology, 430074 Wuhan, PR China"
2051136151,last,5084901619,47720641.0,"Department of Opto-electronics Engineering, Huazhong University of Science and Technology, 430074 Wuhan, PR China"
2051136876,first,5084901619,103635307.0,"Division of Biomedical Sciences and Department of Biochemistry, University of California, Riverside, Rivserside, CA 92521-0121, USA."
2051136876,middle,5009902972,103635307.0,"Division of Biomedical Sciences and Department of Biochemistry, University of California, Riverside, Rivserside, CA 92521-0121, USA"
2051136876,last,5047062612,103635307.0,"Division of Biomedical Sciences and Department of Biochemistry, University of California, Riverside, Rivserside, CA 92521-0121, USA"
2051137881,first,5016716157,241749.0,"Signal Processing Group, Eng. Dept., Cambridge Univ., Trumpington St., Cambridge CB2 1PZ, UK"
2051137881,last,5065185246,241749.0,"Signal Processing Group, Eng. Dept., Cambridge Univ., Trumpington St., Cambridge CB2 1PZ, UK"
2051138418,first,5080874815,,
2051138418,middle,5071636149,,
2051138418,middle,5005123802,,
2051138418,middle,5022557090,,
2051138418,middle,5049923176,,
2051138418,middle,5028220643,,
2051138418,last,5043391310,,
2051139206,first,5084023575,,
2051139206,middle,5036460013,,
2051139206,last,5089059738,,
2051139541,first,5017707285,147017597.0,"Laboratory of Electron Microscopy, Varna Institute of Medicine, Varna 9002, Bulgaria"
2051139566,first,5030455939,1291425158.0,"Google, Mountain View, USA"
2051139606,first,5020386420,,
2051139606,middle,5057198702,,
2051139606,last,5067006146,,
2051139749,first,5038596508,121820613.0,"Louisiana State Univ., USA#TAB#"
2051139749,middle,5086736655,121820613.0,"Louisiana State Univ., USA#TAB#"
2051139749,middle,5060074227,121820613.0,"Louisiana State Univ., USA#TAB#"
2051139749,middle,5032828472,121820613.0,"Louisiana State Univ., USA#TAB#"
2051139749,last,5056624209,121820613.0,"Louisiana State Univ., USA#TAB#"
2051141196,first,5000241801,,
2051141196,middle,5007226805,,
2051141196,middle,5072419495,,
2051141196,middle,5020737678,,
2051141196,last,5028356280,,
2051142601,first,5000241801,1281635806.0,Alberta Environmental Protection (Canada)
2051142601,last,5085932070,1281635806.0,Alberta Environmental Protection (Canada)
2051142888,first,5029831246,76130692.0,"Dept..of Inf. Sci. & Electron. Eng., Zhejiang Univ., Hangzhou, China"
2051142888,middle,5088109232,76130692.0,"Dept..of Inf. Sci. & Electron. Eng., Zhejiang Univ., Hangzhou, China"
2051142888,middle,5030232420,76130692.0,"Dept..of Inf. Sci. & Electron. Eng., Zhejiang Univ., Hangzhou, China"
2051142888,last,5001166023,76130692.0,"Dept..of Inf. Sci. & Electron. Eng., Zhejiang Univ., Hangzhou, China"
2051143688,first,5046265468,1320473756.0,"Royal Melbourne Hospital, Grattan Street, Parkville, Victoria 3050, Australia"
2051144475,first,5017528904,114531698.0,"Department of Applied Physics, Tokyo Institute of Technology"
2051144475,middle,5070106223,114531698.0,"Department of Applied Physics, Tokyo Institute of Technology"
2051144475,last,5035966325,114531698.0,"Department of Applied Physics, Tokyo Institute of Technology"
2051144601,first,5081616503,117965899.0,"Assistant Professor of Music Education and Conductor of Brass Ensembles, University of Hawaii, Honolulu."
2051144601,first,5073347409,1331384533.0,"Assistant Professor of Music Education and Conductor of Brass Ensembles, University of Hawaii, Honolulu."
2051145320,first,5065372450,,
2051145344,first,5020483292,44461941.0,"Department of Mathematics , University of Houston , Houston, Texas, 77004"
2051145395,first,5033872453,,
2051145680,first,5066809107,,
2051145999,first,5089469349,123387679.0,"Department of Medical Cell Biology, Uppsala University, Biomedical Centre, Uppsala, Sweden"
2051147079,first,5020825814,4210135152.0,"SAP Research Center Dresden, SAP AG, Germany (Tel: +49 351 4811 6120"
2051147079,last,5056029393,4210135152.0,"SAP Research Center Dresden, SAP AG, Germany (Tel: +49 351 4811 6213"
2051147896,first,5049923176,185261750.0,"Department of Botany , University of Toronto"
2051148006,first,5057198702,4210122091.0,"Department of Paediatrics, Ahmadu Bello University Teaching Hospital Zaria, Kaduna State, Nigeria"
2051148006,middle,5041430199,4210122091.0,"Department of Paediatrics, Ahmadu Bello University Teaching Hospital Zaria, Kaduna State, Nigeria"
2051148006,last,5081345828,4210122091.0,"Department of Ophthalmology, Ahmadu Bello University Teaching Hospital Zaria, Kaduna State, Nigeria"
2051148008,first,5010586392,153473198.0,North China Electric Power University
2051148308,first,5022425980,,
2051148308,middle,5014063849,,
2051148308,last,5066809107,,
2051148400,first,5015820034,,
2051148458,first,5072340000,,
