work_id,topic_id,score
2051135645,11288,0.9996
2051135645,11153,0.9996
2051135645,12499,0.9993
2051136151,11128,1.0
2051136151,10502,0.9975
2051136151,10461,0.9926
2051136876,10432,0.9918
2051136876,10521,0.9853
2051136876,11970,0.9575
2051137881,10860,0.9733
2051137881,10822,0.9639
2051137881,10283,0.953
2051138418,11206,0.9976
2051138418,12560,0.992
2051138418,10346,0.9777
2051139206,10318,0.0923
2051139206,13143,0.0462
2051139541,10617,0.9999
2051139541,10725,0.9981
2051139541,10407,0.9979
2051139566,11161,0.883
2051139566,11819,0.813
2051139566,10609,0.7718
2051139606,10562,0.9932
2051139606,10280,0.9122
2051139749,10683,1.0
2051139749,10519,0.9989
2051139749,10836,0.9847
2051141196,10337,0.9981
2051141196,10351,0.9846
2051142601,14257,0.8311
2051142601,11211,0.7615
2051142601,11666,0.7535
2051142888,11321,1.0
2051142888,10125,0.9983
2051142888,11269,0.9971
2051143688,12525,0.14
2051143688,12629,0.1222
2051144475,12537,0.9844
2051144475,12250,0.9554
2051144475,10360,0.9381
2051144601,12168,0.1839
2051145320,12337,0.9778
2051145320,12909,0.9461
2051145320,13135,0.9438
2051145344,11673,0.9756
2051145344,11797,0.9737
2051145344,11727,0.9718
2051145395,12816,0.9467
2051145680,12477,0.9143
2051145999,12434,0.9998
2051145999,11178,0.994
2051145999,10169,0.9933
2051147079,11719,0.9989
2051147079,10317,0.9974
2051147079,10679,0.9972
2051147896,13220,0.9998
2051147896,10494,0.9984
2051147896,10825,0.9549
2051148006,11826,0.9974
2051148006,10997,0.9941
2051148006,13770,0.994
2051148008,10412,0.9999
2051148008,10908,0.999
2051148008,11407,0.9971
2051148308,12760,0.995
2051148308,10180,0.9939
2051148308,11854,0.9871
2051148400,11867,0.9863
2051148458,10291,0.952
2051149479,11799,0.9999
2051149479,11138,0.9993
2051149479,12362,0.9949
2051149940,11812,0.8036
2051150319,10224,0.9976
2051150319,10048,0.9962
2051150319,10093,0.9958
2051151246,11673,0.9283
2051151246,11797,0.928
2051151246,10849,0.9222
2051151286,14518,0.1263
2051151295,10138,0.9923
2051151295,13983,0.9921
2051151295,14470,0.9919
2051151742,10369,0.8957
2051151742,13113,0.8797
2051151742,12564,0.8776
2051151957,11815,0.9733
2051152012,10758,0.9492
2051152183,14313,0.9696
2051152183,10254,0.9431
2051152183,14384,0.9269
2051152443,11601,0.9993
2051152443,10784,0.999
2051152443,10493,0.9983
2051152928,11226,0.9919
2051152928,11037,0.9819
2051152928,11868,0.9497
2051153189,12266,0.9161
2051153521,11137,0.5207
2051153866,11201,0.9995
2051153866,10396,0.9975
2051153866,10700,0.9972
2051154505,11849,0.0949
2051154505,13402,0.0871
2051154596,10998,0.9999
2051154596,10850,0.9942
2051154596,10361,0.9831
2051154787,10395,0.9943
2051154787,11810,0.9878
2051154787,14306,0.9872
2051155012,11507,0.6856
2051155312,13537,0.985
2051155312,13135,0.9028
2051155925,13160,0.9904
2051155925,10911,0.948
2051155925,11746,0.9162
2051156078,10751,0.9995
2051156078,10012,0.9646
2051156078,12144,0.9511
2051156384,10775,0.9967
2051156384,10481,0.988
2051156384,14339,0.9875
2051156394,10781,0.9981
2051156394,10642,0.9961
2051156394,12776,0.9568
2051156755,11191,0.9152
2051156755,11428,0.9069
2051156766,10125,0.9996
2051156766,11409,0.9994
2051156766,10575,0.9994
2051158193,10173,0.984
2051158193,11012,0.9837
2051158193,10360,0.9687
2051159244,11324,0.9988
2051159244,13493,0.9868
2051159244,11414,0.9864
2051159519,10745,0.9553
2051159605,11132,0.7384
2051159803,13204,0.3271
2051161090,11575,0.9996
2051161090,10248,0.9982
2051161090,10988,0.9972
2051161398,13013,0.9514
2051161398,11434,0.9356
2051161689,10342,0.9671
2051161689,10423,0.915
2051161801,12042,0.9932
2051161801,12203,0.9174
2051161801,10715,0.9105
2051162753,11924,0.9997
2051162753,12770,0.9936
2051162753,10414,0.9806
2051162800,10177,0.9085
2051163018,10091,0.9985
2051163018,10166,0.9749
2051165166,12339,0.952
2051165205,10725,0.9844
2051165205,11559,0.9734
2051165205,13991,0.9691
2051165229,10671,1.0
2051165229,12538,0.9956
2051165229,11658,0.987
2051165252,14009,0.7908
2051165252,14399,0.7893
2051165252,10895,0.6769
2051165970,12605,0.9998
2051165970,11796,0.993
2051165970,11546,0.9918
2051166298,11945,1.0
2051166298,10360,0.9974
2051166298,11382,0.9911
2051167109,10413,0.9999
2051167109,10110,0.9988
2051167109,10001,0.998
2051167116,14083,0.8747
2051167116,10791,0.75
2051167881,13372,0.9998
2051167881,13068,0.9956
2051167881,12266,0.9871
2051168629,10165,0.9758
2051168629,13068,0.9436
2051169992,10672,0.9564
2051169992,13518,0.9396
2051169992,11975,0.9299
2051170518,10464,0.9997
2051170518,10163,0.9996
2051170518,10274,0.9981
2051170911,13695,0.2626
2051171033,12689,0.9987
2051171033,11146,0.9708
2051171033,11465,0.9555
2051171777,10588,0.9997
2051171777,13234,0.9918
2051171777,12508,0.9903
2051172176,10382,0.9984
2051172176,11965,0.9866
2051173030,14409,0.9859
2051173030,10953,0.9798
2051173030,13751,0.9274
2051173461,12882,0.961
2051173461,13005,0.9384
2051174634,10049,1.0
2051174634,10037,0.9987
2051174634,12405,0.9958
2051175437,10508,0.9997
2051175437,12339,0.9918
2051175437,13690,0.9851
2051176443,11853,0.9973
2051176443,11100,0.9967
2051176443,12200,0.995
2051176778,11546,0.7518
2051177858,12022,0.9999
2051177858,10577,0.9988
2051177858,11254,0.9877
2051177922,11590,0.4921
2051177922,10391,0.4601
2051178226,14156,0.998
2051178226,14474,0.9783
2051178226,13924,0.956
2051178495,10523,0.9999
2051178495,10002,0.9997
2051178495,10425,0.9949
2051178596,10209,0.93
2051178702,10129,0.9886
2051178702,11395,0.9843
2051178702,12422,0.9839
2051178779,11810,0.9895
2051178779,11024,0.9842
2051178923,10744,0.9959
2051178923,10477,0.9938
2051178923,12917,0.9928
2051178999,13198,0.9186
2051178999,10362,0.9127
2051178999,14210,0.9099
2051179204,10301,0.9972
2051179204,10836,0.996
2051179204,10631,0.9939
2051179649,10724,0.9963
2051179649,11967,0.9796
2051179649,11541,0.9677
2051180529,10180,0.991
2051180529,14249,0.9747
2051180529,11434,0.9411
2051180794,10967,0.9988
2051180794,10480,0.9976
2051180794,10402,0.9949
2051181815,11871,0.0796
2051182473,13057,0.1894
